,qu,qa,ans,is_duplicate
269,which is the best indian short film,what are some outstanding indian short films,"There are so many hindi short-films. Following are good YouTube channels who has good content and uploads regularly.Large shortfilmTerribly tiny talks.Pocket films.Here is my personal favourite ""chutney""…Good bye.",1
270,what do you want to ask about china,what do you want to know about china,"I'm Vietnamese student. For me, I just wanna know about Chinese history, culture and technology.",1
271,is the white race really dying out,is the white race doomed,"Do you at least know what means ""white race""? I'm sure than not.",1
272,who is the dalai lama what does lama indicate,who is the dalai lama,He is the theocrat who was evicted from his power-seat in Tibet.He is now one of the prods used against China.,1
273,how does existence exist,does existence exist,Watch this video. It may answer your question.http://www.kabbalah.info/engkab/...,1
274,which are some of the best vc firms and startup accelerators you are aware of,which is the best startup accelerator,"If your idea is in the health space, check out http://www.rockhealth.com.",1
275,do virtual particles in vacuum really exist,is energy in vacuum real how do we know that this energy that can be borrowed and returned immediately is real if virtual particles didn t exist,"Yes but for very short time within the range 10^-18--10^-25 sec,they borrow energy from the vauum according to the uncertainty principle to appear,but disappear within this short time.",1
276,i have read many books talking about giants were there really giants ever on earth,were there giants on earth,"Yes,the remains of giants have been found all over the world.",1
277,what are some safe ways of burning 500 calories a day,what is the simplest way to create 500 calories deficit per day,"Give up the small things: butter, salad dressing, any drinks with calories (juice is not healthy), cheese (as a topping, not in and of itself), bacon bits. You won't miss it and you can cut out a surprising amount of daily calories. Then walk for an hour a day - doesn't have to be all at once, can be 2x30 or 6x10 If you want. Just get up and move more than you do now.",1
278,what happens to a photon after it hits the retina of my eye,where does a photon go after hitting our retina,"It ceases to exist.Its energy and momentum  get absorbed by a molecule in the retina, but as the photon is massless, there is then nothing of it left.",1
279,what are the best hashtags to use to get more exposure on instagram,what are the best hashtags for instagram likes,#follow#follow4follow#love#life#bored#me#beautiful#funny#lol#insta,1
280,why didn t the government of india print banknotes with qr codes on it as a measure to avoid counterfeit currency and to fight against black money,why didn t the government of india print banknotes with bar codes on it as a measure to avoid counterfeit currency and to fight against black money,"Bar codes are not fool proof, can be easily counterfeited. And you need a barcode reader, programmed to detect fakes. Common citizens cannot be carrying that around. Banks can anyways detect fake currency.",1
281,what s the process to become pilot in india,i am an engineering student how can i become a pilot in india,Atharva Prabhu's answer to What is the procedure to become a pilot after pursuing a B.Tech?,1
282,how many india pakistan wars have been there and how many has the indian army won,how many wars have india and pakistan fought and how many of them have been won by each side,Pakistan won every war accept the war of freedom if you dont know see it on wikipedia who won kargil war and what happened on six september destroyed your whole indian army . Are you people watching indianpedia except wikipedia.,1
283,what does crude oil contain,what is crude oil,"Crude oil is refined to make natural gas, ethylene, propane, butane, butylene, kerosene, naptha, jet fuel, diesel fuel, heavy fuel oil, motor oil, and asphalt. It is also used to supply chemical raw feed stocks like benzene, toluene, propylene, xylenes, etc.",1
284,what are the best laxatives to lose weight,how can stool softeners help you lose weight,"Laxatives do not cause weight loss. Anybody using a laxative for this purpose is seriously misinformed, has an eating disorder, or both. Do not attempt it.If you are at all considering doing this, see a doctor immediately.",1
285,what should i do to gain my confidence back,how can i gain back my confidence,"Whatever thing happened to you in your past, you should not cry or regret for that, however everyone has a past that pulls back.You should learn from it and consider it as your motivation source. Because life is too short to do great things and we spend our whole life crying.So get up from your past , make it a stand & achieve what you want.",1
286,what is the worst food you have ever eaten,what is the grossest food you ever ate,"Butter chicken in the UK.It is flat, tasteless, comes out of a can, and NOTHING Indian about it.",1
287,what is the best resource or book to learn angular 2,which is the best book on angular 2,"If this was a book, I would recommend it highly.Learn Angular 2 · Learn Angular 2",1
288,donald trump or hillary clinton,who would you vote for between donald trump and hillary clinton,"Thanks for A2A.Hmm.Would I rather trim a nose hair, or cut my nose and ears off?In case you're curious, the more draconian approach is the Trumpian one.",1
289,what is your score in kvpy sa 2016 aptitude test what is the expected cutoff,how was the kvpy sa 2016 what is the expected cutoff,"Dear all KVPY candidates, here I am showing KVPY 2016 expected cutoff. KVPY Result will be announced in 3rd week December 2016.Check below image to know KVPY cutoff ( Click on image to enlarge)For more queries, comment me. Don't forget to Upvote :)",1
290,what are the best softwares for data analysis,which is the best software for data analysis,As I am very sure as my cousin is working in this company in TechVariable.Com from last few months and their software is really helping me to analyse my data problem too.,1
291,why should one celebrate birthdays,should one celebrate one s birthday why or why not,"Well for me, the main purpose of celebrating birthday is sharing happiness. Taking our older ones blessings. Making a strong bond with our friends, family, and relatives etc.Birthday celebration means celebrating Happiness.",1
292,what do people of pakistan think about uri attack,what s pakistan s view on uri attack,My open letter to Pakistani Civilians - Open Letter to Pakistani Civilians !,1
293,is it possible to exchange old 500 rupee notes after dec 31,can i exchange old indian currency after dec2016,Deposit them.You may be asked to fill a form and specify a reason.It is a small amount so it won't attract Income Tax attention.,1
294,is a question in quora limited to 150 text characters and question details to 300 characters,why does quora insist on long answers but only 300 characters of question details,Question details are now limited to 300 characters.Quora & the importance of canonical questions by Marc Bodnick on The Quora Blog ,1
295,which is the best ca coaching in delhi,can any one tell me the best institue for cpt ca in delhi,"Pitampura based institute ""AVJ Institute"" is best according me, i heard lots of good thing about that institute. I you too are looking for that first visit their and take your own decision.  ",1
296,has anybody had near death experience and saw any evidence of an afterlife,has anyone had a near death experience and saw the evidence of an afterlife,"Yes I have, on more than one occasion. No it did not, and I am confused as to why it should. It seems an event which doesn't bear directly on the subject.My views on the afterlife are that there is none. The only thing which could make me change my mind on that would be direct evidence for the opposite. That would not require near-death but rather complete and unequivocal death.",1
297,how do you think of one belt one road policy,how do we think about one belt one road,"Personally, I think it's better to take two belts with you when you go out on the road.  That way, if one belt breaks you still have another to hold your pants up.",1
298,which are best places to visit in goa during vacations,what are the places in goa to visit,Anjuna BeachPalolem Beach - Popular amongst honeymoon couples ( List of must things to do in Goa for couples )Aguada BeachBaga BeachBambolim BeachCalangute BeachDona PaulaCandolim Church Or Our Lady Of Hope ChurchBasilica De Bom JesusColva Beach,1
299,what is meant by quantization of charge,what is meant by quantization of charge in physics,Charge can be considered as small packate. So this consideration is called quantization and hence called as charge is quantized.,1
300,how do i stop my yorkie corgi mix from chewing my shoes,how can i stop my dog from chewing my shoes,"You can try bitter apple spray plus chew toys. Throw in kindness based training …maybe it will work. Read up on the training. Most people do it wrong.If they are chewing, they are bored, teething or both.We just put the stuff we like up, out of reach. Eventually, they outgrow it.",1
301,what are the ways to earn in a part time job work from home,what are some part time jobs which can be done from home,If you wants to work from home as part time for extra income you can work with freelancing where they have some tasks to complete you can complete from i personally work as freelancer here are some sites where you can complete task and get extra incomehttp://onedollardeveloper.comhttp://elance.comhttp://reelancer.comhttp://odesk.comhttp://guru.com,1
302,how do i check who blocked me on instagram,how do i find out who blocked me on instagram,"I don't think it's possible.But you can try searching the account, if you can't see anything or even search using his/her Instagram handle you are blocked.",1
303,how can i enlarge my penis,how can i increase my penis,"Sorry to say, but nothing works to make it actually thicker. You can make your erection harder, but that's it.",1
304,how in heaven s name would i dress like a workout guy from the year 1990 in the summer,how do i dress like a workout guy from the year 1990 in the summer,I'll give you another choice for a workout guy from 1990:Richard Simmons was a huge workout guy in 1990.,1
305,what is the exam pattern for cat 2016,what is the pattern for cat 2016,"CAT 2016 is yet to happen. In all probability, it should be same as CAT 2015 owing to two reasons: (a) CAT 2015 was based on a new pattern with introduction of non MCQ questions, 3 sections pattern with sectional time limit, (b) TCS was hired at the place of Prometric as testing g partner. They would like to give TCS some breathing space.",1
306,should i read chetan bhagat s latest one indian girl,how is the book one indian girl,"Hey I have completed One Indian girl few weeks back. Here is my short review about the book""One Indian girl is all about, a well paid Punjabi girl who drinks all the time, who had 2 meaningless relationship, have meaningless thought on everything and at last have no idea on what feminism is all about""Note: Dear CB, I loved reading this book. But my Indian girls are quite different :)",1
307,what are biotic and abiotic components,what are the differences between biotic factors and abiotic factors,"Abiotic is everything that doesn't live, like temprature, water, dirt. While biotic is everything that lives, like plants, bacteria and animals.",1
308,which are some good websites with online photography courses,what are some of the best websites for a free photography course,"There are thousands of online classes, both free and paid. Here is a resource with classes from Lynda, Skillshare, KelbyOne, CreativeLive, Udemy, and many more. There are so many photography options, so search for specific terms if needed and filter to see free ones!Photography Classes",1
309,why does quora always marks my question as needing improvement,why are all my questions immediately being marked as needing improvement,That is perfectly true! i hate when the Quora bot marks clear questions with 'needing improvement' this annoying :( ,1
310,what was the industrial revolution,what happened in the industrial revolution,"It was the large-scale economic transition that happened in Britain from 1760 to 1820.  The widespread use of both machinery in place of handicraft and powered machinery. As originally defined by Arnold Toynbee (the uncle of the more famous historian of civilisations), it also included the British Agricultural Revolution.",1
311,what is the best riddle you have heard,what s the best riddle you ve ever heard,For Starters:Play the Petals Around the Rose game (JavaScript).,1
312,why does quora seemingly always tell me that my questions need improvement when they are clear and concise questions,why are some questions on quora flagged as needing improvement when they don t need improvement,I believe this may answer your question -All quiet on this front - Not!,1
313,what is a strategy to crack the rbi grade b exam,what should be the smart strategy to prepare for rbi grade b exam,Syllabus and pattern of RBI Grade B officers recruitment examination is as under-You may refer for detailed advertisement available at the RBI website in the below link :https://rbidocs.rbi.org.in/rdocs...Source: RBI website.,1
314,newtons third law,what s newton s third law,Maybe it will help you out —— Newton's Third Law of Motion,1
315,do hamsters eat nuts,can hamsters eat peanuts are they harmful for them in any way,"There are a variety of things hamsters can each such as these fruits and veggies:BroccoliBananaPearCauliflowerChicoryPeachThey also can eat grasses, seeds, grain and some insects.If you want to get some more details check out: What Do Hamsters Eat? Find Their Perfect Diet",1
316,which was the best bollywood movie of 2016 so far,which are the best bollywood movies of 2016,HERE IS MY LIST :Madaari (2016)...2. Sarbjit (2016)....3. Te3n (2016)....4. Pink (2016)...5. Sanam Teri Kasam (2016)...6. Airlift (2016)...7. Wazir (2016)....8. Dangal (2016)...9. Ki & Ka (2016)...10. Sultan (2016),1
317,nri student means,what is nri students means,"A student who has studied 5 years including 11th and 12th in abroad then he is also called NRI student.If the Student studies till 10th in abroad and studies his 11th and 12th in India, then also he is not eligible for entrance exams under normal category.The student must have to complete at least minimum 4 years study in India then he is eligible for entrance exams under normal category.……………………",1
318,is there any evidence that supports the theory that the earth is actually flat rather than spherical,is there any scientific evidence for the flat earth theory,"Answer: there isn't a single shred of evidence supporting flat earth.All of the available evidence, knowledge and common sense supports globe earth.",1
319,what does the common acronym lmao stand for,what does lmao stands for,"LMFA means ""laughing my arse (ass) off"". It is used when you want to express about something that's very funny and make you laugh!Source and other meaning of popular internet slangs: What's the Meaning of lol, lmao, rofl, brb,btw,thx and np? - Guide to Internet Slang",1
320,how do i pass a drug test for methamphetamine,can you pass a urine test for meth with suragel,Don't waste your time. It's never worked for me.,1
321,how many users are on quora as of 2017,adam d angelo how many registered members are there in quora to date,A2A.A simple google search can answer such queries.12 Interesting Quora StatisticsCheers.,1
322,how do i prepare for cpt,how can i prepare for ca cpt 2017,Refer to the following link:Swati Shankar's answer to How can I get through the CPT on my first attempt?,1
323,how do i change the sorting order for answers on quora,how can i sort answers to a question on quora,"I'm not aware of any way to ""sort"" answers. Quora displays them in accordance with the current version of the Quora algorithm.",1
324,how do i write a comedy script,how can we write comedy script,"Every good writer,irrespective of the genre he wants to specialise in, has been a good reader in the first place.Having said that, you need to learn a lot of things before you begin writing and that can happen only when you read",1
325,what are the best additional courses for working mechanical engineers,what are the best courses for mechanical engineer for high salary,"Communication, Speech, Debate.What separates good engineers from some of the best is the ability to communicate and sell their ideas to a wide variety of audiences.",1
326,which was the best movie of bollywood in 2016,what is the best bollywood movie of 2016,HERE IS MY LIST :Madaari (2016)...2. Sarbjit (2016)....3. Te3n (2016)....4. Pink (2016)...5. Sanam Teri Kasam (2016)...6. Airlift (2016)...7. Wazir (2016)....8. Dangal (2016)...9. Ki & Ka (2016)...10. Sultan (2016),1
327,why tata sons replaced cyrus mistry to ratan tata,why did tata sons removed sacked cyrus mistry as the chairman,"Very simple, Tata sons eventually realized that where an Engineer or MBA was required to get the job done, they had hired a Mistry at the helm of the company.Disclaimer: Just trying to set a light tone to the otherwise heavily written other answers to this question. I respect all jobs and professions. Just thought should include this before people start bashing me!",1
328,what is a good minor that will compliment a computer science major,what is the most helpful minor for a computer science major,Anthropology.Nothing is better at helping you design good user experiences.,1
329,what will be the effects of demonetizing of currency on the value of real estate or land in india,what will be real estate trend after demonetization of 500 1000 currency notes,"After banning of 500 and 1000 rupees notes , real estate price decrease near about 25 to 30% in village , town and mega city india. and all over business like real estate , industry , chemical factory and textile industry pro and cons effect after banning 500 and 1000 notes.",1
330,how was tim cook appointed as the ceo of apple,why was tim cook chosen to be apple s ceo,"Steve Jobs hired him as SVP of Apple in 1998. He served as acting CEO in 2004 and 2011 when Job's was on medical leave. ""After Jobs resigned as CEO and became chairman of the board, Cook was named CEO of Apple Inc. on August 24, 2011.""-wikipedia Tim Cook",1
331,how do i study all day,how do i study every day,"By simply believing deliberatly like a mantra, ""that I study everyday in the best way"". You can also assert for better results, ""everyday in every way, I am getter better in my studies"".Throw away all the doubts that you cannot, believe you can, thats all.do not make it too complicated.Thanks,",1
332,how can i get an internship at iisc,how does one get a research internship at iisc,"Write to the prof. If you are from mechanical branch and interested in materials, manufacturing and tribology, then you can contact me directly.",1
333,what does robert frost think of the warp drive,does robert frost think warp drive is achievable in the next century,"NASA has had first contact in the back of their minds since the early days.  That is why the astronauts returning from the moon were quarantined   Aliens do not have to be big or civilized to be ""hostile"".",1
334,how is oil price determined,what determines the price of gas,I've answered a similar (or at least related) question some weeks ago : How are crude oil prices evaluated?; you may want to have a look at it.,1
335,which system for appointment of judges is better the old collegium system or the newly constituted njac,what is better in terms of the judiciary system the old collegium system of appointing judges or the njac as per the government,"If the ""Intention"" is good, nothing is BAD,But, if the ""Intention"" is bad...,Need I say more ?",1
336,can biting nipples stop breast growth,can biting nipples stunt breast growth,"No. No no no no no. Where do people come up with this stuff?In case you missed it, no. Biting nipples does not affect breast growth. But it will make the nipples super sore the next day if done too hard.Also, rubbing your breasts doesn't make them grow, neither does putting any sort of miracle cream or homeopathic ""small boob remedy"" on them.",1
337,what will barack obama do next after he finishes his presidency,what will obama do next after leaving the white house,Whatever he feels like he wants to do! Gosh!,1
338,what are some good movies rated low on imdb,what are some underrated movies on imdb,Dekh Bhai Dekh Dekh Bhai Dekh (TV Series 1993– )6.4/10It has to be the best Indian comedy ever!- classic actors- great punchlines,1
339,how many people have you slept with,how many partners have you slept with,"Zero. That means over the course of approximately 17.5 years, I've had sex with a new person every 0 days and roughly 0 people per year.",1
340,which can be the best laptop under 30000,which is the best laptop model to buy within 30k,You can opt for the Ideapad 310.Intel Core i7 Processor (6th Gen)8 GB RAMDOS Operating System1 TB HDD15.6 inch Display,1
341,i cut my hair and i don t like it what should i do to make it grow fast,what should i do to grow my hair in a week,"Your hair won't grow any faster in a week no matter what you try. Patience is the only thing you'll need. If you're looking for an extreme length difference you can try a wig or extensions, but if it's just too short right now give it a couple of weeks and it'll start to get better.",1
342,what is a set top box,what is a set top box,"Set top box Hardware Components , How to connect set top box to TV??",1
343,when will we get rid of religion,will humanity ever get rid of religions,Humanity needs to get rid of all small-minded ignorant ideologies. Religions mostly fall into that category. So do fascism and communism. And Tea Partyism. And worship of Celine Dion. :-),1
344,how does ppf works,what are the ppf benefits,PPF can be opened in SBI Bank etc . Tax exemption of 1.5 lakh amount . Minimum investment 500 rs and maximum 1.5 lakh rs limit in one year .Interest rate around 7.5%.Locking period of 15 years !,1
345,why are various muslim organisations are against a uniform civil code bill when there are various muslim countries has already have it,why muslims are against uniform civil code,"It is the mullahs and the Muslim Personal Law Board who are opposing it. They are as much representative of Muslims as RSS and Togadia is of Hindus.The MPLB sees itself as losing power over its flock, and will fight in its own defense. That in no way means Muslims support them. The same goes for the priests.",1
346,what is the suez canal what importance does it have,what is the suez canal why is it important,A canal between Egypt and the Arabian peninsula. It separates Africa and Asia and connects the Mediterranean sea with the Red sea. ,1
347,why does turkey ignore all the documents about the armenian genocide,why do turks continue to deny the armenian genocide,Remember the country of our Missile man?? Fondly known as North Korea.Well the official name of the country is Democratic People's Republic of Korea!So much for being Democratic and a Republic.,1
348,what happens if a lightning strikes in the ocean,what happens when lightning strikes the oceans surface how are nearby organisms affected by it,"The lightning is perfectly grounded by the salty ocean water,unless,of course,it hits you or your boat/ship first.",1
349,why should i jailbreak my phone 4,should i jailbreak my phone 4,"Yes! Use evasi0n iOS 6.x Jailbreak for an untethered jailbreak on your iPhone 5.Check out Jailbreak Chart - Jailbreak Matrix to pull up the right jailbreak tutorial for your iPhone, iPad, iPod or Apple TV.",1
350,what do israelis think about pakistan,what does israel think of pakistan,"Who cares what Israel thinks about Pakistan, and by the way who is Israel, ooooh that country who is killing thousands of innocent people of Palestine. The Question should ""What is actually Israel and what people of world think about them""",1
351,what is difference between rational and fraction numbers,what is the difference between fractions and rational numbers,Fraction are in the form of a/b where a is a whole number and b is a natural number.where as ratonal number is in the form p/q where p and q are integers and q is not equal to zero ,1
352,how can i resist my feelings towards my crush and try my best not to give any hint that i like her,how can i resist my feelings towards a crush or say a good friend of mine and then try my best not to give any hint that i like her,"To not let that person know, behave the same way as you normally do (might be harder to practice than preach).And to resist, try indulging in some extra co-curricular activities you have, try spending more time with your family or start watching some addictive T.V. series.",1
353,what us the best things to do in college life that we wouldn t want to miss,what is the best things to do in college life that we wouldn t want to miss,"Bunk college sometimes, sit in the cafeteria-have canteen food and talk, tease your friends, discuss your futur etc",1
354,how to tackle npas,how do indian psbs recover npas,There are several ways. Simply put1. Sale of assets funded2. Settlement with customer3. Legal action against the customer and get his assets attached.,1
355,what is the best laptop to buy under 25000inr,which is best laptop under 25000 with all features like vga and hdmi port,Check this out : Acer Aspire E1 reviewAnd tell me your mind isn't blown!!,1
356,why are people so judgmental of everything,why are people so judgemental,It's tough not being judgemental because everyone creates opinions it's like we frame people even before we know them.Guess it stems from stereotypes and customary beliefs and past experiences. Guess we need to accept all kinds of people no matter what.,1
357,what is your favorite shakespeare play and why,what is your favorite shakespeare play,Richard III.Richard is written so BAD and his asides and snarky comments are awesomely evil. I love it.,1
358,how do you become a successfull game developer,what should i do to be a game developer,You should first check out You Can Make Video Games and PixelProspector for a gold mine of information to kick start you!,1
359,who was the first emperor of a united india,who is the emperor of india,I think Ashoka was the First Emperor of united India,1
360,which book is best for general knowledge,what book should i read to gain general knowledge,"If you haven't got time to read A Short History of Nearly Everything: Bill Brysons  and Wikipedia scares you, then consider: A Shite History of Nearly Everythingit's just as readable, and if possible follow it up with a read of:QI: The Book of General Ignorance ",1
361,how can i learn hacking for free,how do i learn hacking from beginner,"Read books about programming and hackingWatch videossearch for more detailsdo practise on real targetsjoin some places teaching hacking , Hack This Site ,[PentesterLab] Learn Web Penetration Testing: The Right Way , IT Security training courses for individuals and corporations Index 5-27-07Keep reading searching and watching beside practice",1
362,is at least the potential energy of vacuum energy and dark energy infinite,if infinite dark energy can appear with expansion is it infinite or at least potentially infinite,um hi. i already kinda answered this heres the link!: Isaiah Alexander-de Haan's answer to Would we get more dark energy as the universe expands?,1
363,how does the hp officejet 4620 airprint compare to the hp laserjet enterprise m605x,how does the hp officejet 4620 airprint compare to the hp color laserjet professional cp5225dn printer,"HP OfficeJet printers are inkjet printers.HP LaserJet printers are laser printers.Within these basic brands, there is a lot of difference in the models — small office vs. large office, color vs. mono lasers, etc. Do a search for ""hp [model] manual"" for details on specific models.",1
364,how do i get a girl that i like to be my girlfriend,how can i ask a girl to be my girlfriend,"You have to get to know her first. A girl wont trust a random person especially if he wants to be her boyfriend. Ask her to go out on a date with you first to get to know her better, if she says yes to that then go from there. Share an experience with her and have fun.",1
365,which countries make up eastern europe,how many countries are in eastern europe,"As others said, it is not that simple. For example, old political divisions would put Czech Republic in Eastern Europe, but geographically and (mostly) culturally it belongs to Central Europe, like Austria. My Croatia can be counted among Southern, Mediterranean, Balkan, Eastern, South-Eastern and even Central European countries.",1
366,where can i sell my unimplemented business idea,venture and investor pitches how do i sell my product idea,The best places for selling the entrepreneurial ideas are the crowdfunding websites such as Indiegogo: The Largest Global Crowdfunding & Fundraising Site Online or Kickstarter .The people at these crowdfunding websites have been generous in providing entrepreneurs like you their time and money.I hope this helps!!,1
367,what is the logic behind scrapping of 500 and 1000 rupee notes by the indian government,why did goi demobilise 500 and 1000 rupee notes,"To replenish the currency which has been de-monetized.If it is the INR 2000 that is a worry, it is being introduced so as to replenish as much as possible in the least amount of time.Doesn't it make sense to print half as many notes to replenish twice the value?",1
368,i ve exhausted all avenues attempting to recover my yahoo password how do i recover my yahoo password,howcan i recover my yahoo password request,"If you have tried EVERY possible way to recover your password, and failed, by simple definition it's not possible to recover your password.You need to ask a better question - one for example which details exactly what you have tried, and asking if there are any other methods people know about.",1
369,what can i do to get my penis to grow,how can get my penis to grow in length width and girth,"Sorry to say, but nothing works to make it actually thicker. You can make your erection harder, but that's it.",1
370,will smoking weed help with my anxiety,should i smoke weed to help with anxiety,"Indica varieties have more sedative effects.Sativas are more stimulating..meaning thought-stimulating as well, which equates to thinking too much about stuff which leads to anxiety.",1
371,is carbon dating entirely accurate what are some assumptions that it makes,on what scientific assumptions is the accuracy of carbon dating predicated,I don't know all of them but here are a couple. 1. Production rate of C14 is the same now as it has always been.2. The amount of C14 that was originally in an object is known.,1
372,how do i make my girlfriend love me truly,how could i make my girlfriend love me truly,"You can't make somebody love you. Love cannot be created, it is generated by itself, so it's just natural. Somebody can't be forced to be loved, but you can shower your affection on that person.",1
373,how can i learn english literature,what is the best way to learn about english literature,Literary Theory: A Very Short Introduction 2nd Editionby Jonathan Culler  ISBN  13: 978-0199691340Literary  Criticismliterary criticismLiterary  TermsPurdue OWL: Literary Terms,1
374,how is the value of 0 1,why and how is 0 1,"0 factorial is used mainly in permutation and combination. In that field of maths, it denotes the number of ways in which 0 things can be arranged in 0 places, which equals one (the only way is not arranging anything, that's the one way). So, 0 factorial is equal to 1. That is the best explanation, since it doesn't have much use outside that arena.",1
375,how do i get over my first break up,what else can i do to get over a breakup,"The best way to get over someone is to get under someone else. In other words, sleep with enough other people to forget about the one you're not with anymore.",1
376,what did you think of the fantastic beasts and where to find them movie,what is the review of fantastic beasts and where to find them movie,"Plot hole the side of New York and cute Niffler. Only watchable for the cute naughty Niffler and other creatures. I don't care for the plot, but if you love magical creatures, it's worth the watch just to see Newt's adorable beasts he kept in his menagerie.The CGI and 3D is not as good as I expect and it was blurry at times.",1
377,why didn t rbi introduce the plastic currency in india with the new 500 and 2000 notes,why isn t india using polymer currency notes,"There is so much money in circulation, that replacing existing notes with polymer notes would attract huge sunken costs, which we can't afford in present scenario",1
378,how can i pass a ua for meth if i ate some 2 days ago,how can u pass a meth swab test,"Is simply not doing meth an option here?If it's not, then I have no answer for you. Except stop doing meth. I mean, really. Stop doing it.",1
379,why don t north korean army revolt against their dictator,why don t north koreans rebel,"Most North Koreans do not even consider revolution an option, The Great Leader has a stranglehold on the hearts and minds of his followers, it's a cult not a communist regime. The best they can hope for is escape once they realize escape is an option.",1
380,how do you scan a document to your computer,how do i scan documents into my computer,"Since you ask for the best way to scan a document, then I can provide you with the single best solution: Image scanner . This device relies on the very same principles of a photocopy machine (which I'm pretty sure you're already familiar with), but instead of cloning your document, it saves it as a file in your computer.",1
381,how do i get a job as a film and tv critic,how can an individual become an online film critic,"With the power that computers and the internet have brought to the masses, there is no more ""How do I?"". The answer is to go do it.If you want to be a movie critic, get a website, review movies, find your voice, and if you are good enough, money will find its way to you.",1
382,which book is the best reference for a cs executive in both modules,which is the best book for executive programme of cs, Can you clarify CS?CS can also mean Customer Service and this would be different books from others that have been listed. ,1
383,how often do woman masturbate,how often girls masturbate,-i can't comment about other girls.But me ? 9–10 times in a week.Is that fine ?,1
384,what does vsp position in accenture mean,what is a vsp post in the accenture mean,VSP is not a profile its Visiting School Program. Once you get your offer letter your profile will be mentioned in it. (Mine is Application Development Associate),1
385,i am planning on exercising quite a lot as well as not eating or drinking at all will i lose a lot of weight in six months,how much weight will i lose in a year if i exercise a lot and stop eating and drinking,"Stop eating sugar.I followed these guidelines for a month in an experiment to see if my anxiety decreased, but it actually made me lose 5 pounds in about 10 days. I hadn't realized how dependent I was on sugar for meals — white rice, bread, etc.",1
386,what are the best romance anime,what are some of the best anime romances,I'll give you some of thee best ones (in my opinion) for each category.Mystery:Haibane Renmei (Charcoal Feathers)Tragedy:Zankyou no terrorTime travel:Re:zeroRomance:Sukitte ii na yo (Say I love you)And if you want a series with all of those categories then just watch steins;gate :p,1
387,what is the easiest way to hack facebook account,how do we hack a facebook account,Kill tension before tensions kill you reach your goal before goal kicks you live life before life leaves you.,1
388,what is life in prison like,what is life like in prison,"Only 4 states have such visits. New York is one that is where I am from . My husband and I are legally married and the visits come in 12 or 24 hour lengths in a private apartment like setting with in the jail. A trailer of sorts within the jails fences. Condoms and sheets and a bed and towels are provided , food is not and u can bring ur own .",1
389,is german the language most closely related to english,how closely related are german and english,"In layman terms for mainstream languages, Nederlands (Dutch) is closer to English than Deutsch (German).",1
390,if i smoked meth for a month how long for a ua to show clean,how long meth stay in system,meth will stay in your system up to 3 or 4 daysMethamphetamine ,1
391,how can you learn hadoop,what is essential to start learning hadoop,"If you want to learn online then you can enroll yourself in :UdacityBigDataUniversityHadoop Developer PathHadoop Training and Certification | HortonworksLearn Hadoop, Hive, Sqoop, Pig for free with free certificationsBig Data Hadoop Training Classes and Hadoop Courses Online - EdurekaBig Data and HadoopFor free Hadoop training, below is the link :8 Free Hadoop Online Training Resources",1
392,can i locate someones phone without them knowing or having apps,how can i locate my husband s phone location without him knowing,"Your exact location cannot be tracked when GPS is off, but the cell towers nearest to your location can be used to determine the area in which you are using your phone since they carry the signals.",1
393,does size really matter to women,do women really care about the size of a man s penis,"Not really! Size matters to men, not women. The thing that matters is to make a woman orgasm.. real good! Be it vaginal or clitoris. Again.. size is just a number. An average penis size is good enough when you know how to get your lady cum.",1
394,what would happen if i sent two private investigators to find each other,what would happen if i got two private investigators to follow each other,"If you really want to see what would happen, not exactly same , but somehow identical and same storyline is followed in movie named ,THE DEPARTED",1
395,linguistics how to self study linguistics,how do i study linguistics,"Read scholarly books about this field: -). In fact, just begin with Wikipédia articles, so you can see which branch of linguistics interests you the most. Another good way is simply to study foreign languages. ",1
396,where can make money online free,what is the easiest way to make money online without spending a lot of time or money,"There are many online jobsWork as a freelancer: fiverr, upwork, freelancerAffiliate marketing: promote others product for commission (cj, cb, jvzoo)Designing work: logo, flyers and business cardsAnimation artist: 2D, 3D and whiteboardOnline Tutor: any subjectDigital transcription: data entry and medical transcriptionsVoice over artist for videos",1
397,how do i make a suicide look like an accident,how can i make a suicide look like an accident,"It won't look like an accident. And the let and foremost you could do to your family is taking medics for your illness that is depression. Suicide is killing oneself. After death none can't Back ever. Consult docs, take medics, live your life with your family.",1
398,where are the best places to eat in new york city that have a great vibe,what are the best places to eat in new york city,"Tomoe Sushi4.4(297)· €€Sushi RestaurantOVERVIEWMENUREVIEWSPHOTOS1 of 4CALLDIRECTIONSSAVELong-running eatery serving sushi & other Japanese dishes in a small, casual setting.Small plates · Healthy options · Hip172 Thompson St, New York, NY 10012, USA",1
399,which is the best book of physics,which book is best book for physics,Abhi Bhatia's answer to How many of you have cleared IIT JEE without coaching?,1
400,is the approval of gst a boon or a bane for india,is gst is bane or boon to the society,"GST advantages from Automobile per se is very comforting to the industry.The good news is that the car prices may come down by 3% to 22%, if the government accepts the recommendations of the GST panel and puts automobiles in the general GST category with a rate of ~18%.Impact of GST on Car prices - Usstaad Blog",1
401,will quora be blocked in china,will quora be blocked in mainland china by the chinese government if so when,"When Quora supports Chinese to type and read,maybe it will be blocked",1
